title,genres,director,actor1,actor2,actor3,comb
spenser confidential,Comedy Action Thriller,Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Mark Wahlberg Winston Duke Alan Arkin Peter Berg Comedy Action Thriller
the banker,Drama,George Nolfi,Niceole Levy (screenplay); Anthony Mackie,Nicholas Hoult,Nia Long,Niceole Levy (screenplay); Anthony Mackie Nicholas Hoult Nia Long George Nolfi Drama
the burnt orange heresy,Thriller Drama Mystery,Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Claes Bang Elizabeth Debicki Mick Jagger Giuseppe Capotondi Thriller Drama Mystery
swallow,Drama Thriller Horror,Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Haley Bennett Austin Stowell Elizabeth Marvel Carlo Mirabella-Davis Drama Thriller Horror
first cow,Drama Western History,Kelly Reichardt,Jonathan Raymond (screenplay); John Magaro,Orion Hall,René Auberjonois,Jonathan Raymond (screenplay); John Magaro Orion Hall René Auberjonois Kelly Reichardt Drama Western History
bloodshot,Action,Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Vin Diesel Eiza González Sam Heughan Dave S. F. Wilson Action
the hunt,Action Thriller Horror,Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Betty Gilpin Ike Barinholtz Amy Madigan Craig Zobel Action Thriller Horror
i still believe,Music Drama,Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,KJ Apa Britt Robertson Shania Twain Erwin Brothers Music Drama
lost girls,Drama Mystery Thriller History,Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Amy Ryan Thomasin McKenzie Lola Kirke Liz Garbus Drama Mystery Thriller History
stargirl,Comedy Drama Romance,Julia Hart,Kristin Hahn,Graham Verchere,Giancarlo Esposito,Kristin Hahn Graham Verchere Giancarlo Esposito Julia Hart Comedy Drama Romance
the roads not taken,Drama,Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Javier Bardem Elle Fanning Laura Linney Sally Potter Drama
never rarely sometimes always,Drama,Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Sidney Flanigan Talia Ryder Theodore Pellerin Eliza Hittman Drama
big time adolescence,Comedy,Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Pete Davidson Griffin Gluck Jon Cryer Jason Orley Comedy
lost transmissions,Drama,Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Simon Pegg Juno Temple Alexandra Daddario Katharine O'Brien Drama
resistance,War History Drama,Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,Jesse Eisenberg Ed Harris Clémence Poésy Jonathan Jakubowicz War History Drama
uncorked,Drama Comedy,Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Mamoudou Athie Courtney B. Vance Niecy Nash Prentice Penny Drama Comedy
